"year","race","sex","age_group","is_aggregate","pop_total","lf_total","lf_pct","employed_total","employed_pct","unemployed_total","unemployed_pct","not_in_lf"
2019,"Total","Total","16+",FALSE,259175,163539,63.1,157538,60.8,6001,3.7,95636
2019,"Total","Total","16-19",FALSE,16693,5896,35.3,5150,30.9,746,12.7,10796
2019,"Total","Total","16-17",FALSE,8798,2081,23.7,1789,20.3,291,14,6717
2019,"Total","Total","18-19",FALSE,7894,3816,48.3,3361,42.6,455,11.9,4079
2019,"Total","Total","20-24",FALSE,21055,15196,72.2,14172,67.3,1024,6.7,5860
2019,"Total","Total","25-54",TRUE,126281,104180,82.5,100976,80,3204,3.1,22102
2019,"Total","Total","25-34",TRUE,44877,37191,82.9,35807,79.8,1384,3.7,7686
2019,"Total","Total","25-29",FALSE,22933,18991,82.8,18211,79.4,780,4.1,3942
2019,"Total","Total","30-34",FALSE,21943,18200,82.9,17597,80.2,603,3.3,3743
2019,"Total","Total","35-44",TRUE,40960,34057,83.1,33127,80.9,930,2.7,6902
2019,"Total","Total","35-39",FALSE,21341,17736,83.1,17248,80.8,489,2.8,3605
2019,"Total","Total","40-44",FALSE,19619,16321,83.2,15880,80.9,441,2.7,3298
2019,"Total","Total","45-54",TRUE,40445,32932,81.4,32042,79.2,890,2.7,7513
2019,"Total","Total","45-49",FALSE,20137,16707,83,16260,80.7,447,2.7,3430
2019,"Total","Total","50-54",FALSE,20308,16224,79.9,15781,77.7,443,2.7,4083
2019,"Total","Total","55-64",TRUE,42241,27603,65.3,26893,63.7,710,2.6,14638
2019,"Total","Total","55-59",FALSE,21624,15756,72.9,15348,71,408,2.6,5868
2019,"Total","Total","60-64",FALSE,20616,11847,57.5,11545,56,302,2.5,8769
2019,"Total","Total","65+",TRUE,52905,10663,20.2,10347,19.6,317,3,42241
2019,"Total","Total","65-69",FALSE,17288,5934,34.3,5765,33.3,169,2.8,11354
2019,"Total","Total","70-74",FALSE,13990,2766,19.8,2679,19.2,87,3.1,11224
2019,"Total","Total","75+",FALSE,21626,1964,9.1,1903,8.8,61,3.1,19663
2019,"Total","Men","16+",FALSE,125353,86687,69.2,83460,66.6,3227,3.7,38667
2019,"Total","Men","16-19",FALSE,8445,2950,34.9,2543,30.1,408,13.8,5495
2019,"Total","Men","16-17",FALSE,4456,1027,23.1,879,19.7,149,14.5,3429
2019,"Total","Men","18-19",FALSE,3989,1923,48.2,1664,41.7,259,13.5,2066
2019,"Total","Men","20-24",FALSE,10530,7789,74,7187,68.3,602,7.7,2741
2019,"Total","Men","25-54",TRUE,62304,55531,89.1,53845,86.4,1686,3,6773
2019,"Total","Men","25-34",TRUE,22386,19948,89.1,19207,85.8,741,3.7,2439
2019,"Total","Men","25-29",FALSE,11478,10079,87.8,9642,84,436,4.3,1400
2019,"Total","Men","30-34",FALSE,10908,9869,90.5,9565,87.7,304,3.1,1039
2019,"Total","Men","35-44",TRUE,20143,18296,90.8,17822,88.5,475,2.6,1847
2019,"Total","Men","35-39",FALSE,10523,9588,91.1,9337,88.7,251,2.6,934
2019,"Total","Men","40-44",FALSE,9621,8708,90.5,8485,88.2,223,2.6,912
2019,"Total","Men","45-54",TRUE,19774,17287,87.4,16816,85,471,2.7,2487
2019,"Total","Men","45-49",FALSE,9844,8752,88.9,8510,86.5,242,2.8,1092
2019,"Total","Men","50-54",FALSE,9930,8535,86,8306,83.6,229,2.7,1395
2019,"Total","Men","55-64",TRUE,20335,14547,71.5,14187,69.8,361,2.5,5787
2019,"Total","Men","55-59",FALSE,10489,8283,79,8079,77,204,2.5,2206
2019,"Total","Men","60-64",FALSE,9846,6264,63.6,6107,62,157,2.5,3582
2019,"Total","Men","65+",TRUE,23740,5869,24.7,5699,24,170,2.9,17871
2019,"Total","Men","65-69",FALSE,8117,3199,39.4,3105,38.3,94,2.9,4918
2019,"Total","Men","70-74",FALSE,6460,1556,24.1,1510,23.4,47,3,4903
2019,"Total","Men","75+",FALSE,9163,1113,12.1,1084,11.8,29,2.6,8049
2019,"Total","Women","16+",FALSE,133822,76852,57.4,74078,55.4,2774,3.6,56970
2019,"Total","Women","16-19",FALSE,8247,2946,35.7,2607,31.6,339,11.5,5301
2019,"Total","Women","16-17",FALSE,4342,1054,24.3,911,21,143,13.6,3289
2019,"Total","Women","18-19",FALSE,3905,1892,48.5,1696,43.4,196,10.4,2013
2019,"Total","Women","20-24",FALSE,10525,7406,70.4,6985,66.4,421,5.7,3119
2019,"Total","Women","25-54",TRUE,63977,48648,76,47131,73.7,1517,3.1,15329
2019,"Total","Women","25-34",TRUE,22491,17243,76.7,16600,73.8,643,3.7,5247
2019,"Total","Women","25-29",FALSE,11455,8912,77.8,8568,74.8,344,3.9,2543
2019,"Total","Women","30-34",FALSE,11035,8331,75.5,8032,72.8,299,3.6,2704
2019,"Total","Women","35-44",TRUE,20817,15761,75.7,15306,73.5,455,2.9,5056
2019,"Total","Women","35-39",FALSE,10818,8148,75.3,7911,73.1,237,2.9,2670
2019,"Total","Women","40-44",FALSE,9998,7613,76.1,7395,74,218,2.9,2385
2019,"Total","Women","45-54",TRUE,20670,15644,75.7,15225,73.7,419,2.7,5026
2019,"Total","Women","45-49",FALSE,10293,7955,77.3,7750,75.3,205,2.6,2338
2019,"Total","Women","50-54",FALSE,10377,7689,74.1,7475,72,214,2.8,2688
2019,"Total","Women","55-64",TRUE,21906,13056,59.6,12706,58,350,2.7,8850
2019,"Total","Women","55-59",FALSE,11135,7473,67.1,7269,65.3,204,2.7,3662
2019,"Total","Women","60-64",FALSE,10771,5583,51.8,5438,50.5,145,2.6,5188
2019,"Total","Women","65+",TRUE,29165,4795,16.4,4648,15.9,147,3.1,24370
2019,"Total","Women","65-69",FALSE,9171,2735,29.8,2659,29,75,2.7,6436
2019,"Total","Women","70-74",FALSE,7531,1210,16.1,1170,15.5,40,3.3,6321
2019,"Total","Women","75+",FALSE,12464,851,6.8,819,6.6,32,3.8,11613
2019,"White","Total","16+",FALSE,200827,126600,63,122441,61,4159,3.3,74227
2019,"White","Total","16-19",FALSE,12247,4594,37.5,4067,33.2,528,11.5,7653
2019,"White","Total","16-17",FALSE,6419,1644,25.6,1429,22.3,215,13.1,4775
2019,"White","Total","18-19",FALSE,5828,2950,50.6,2638,45.3,312,10.6,2878
2019,"White","Total","20-24",FALSE,15427,11395,73.9,10739,69.6,656,5.8,4032
2019,"White","Total","25-54",TRUE,94893,79027,83.3,76857,81,2170,2.7,15866
2019,"White","Total","25-34",TRUE,32817,27534,83.9,26641,81.2,893,3.2,5283
2019,"White","Total","25-29",FALSE,16614,13979,84.1,13488,81.2,491,3.5,2635
2019,"White","Total","30-34",FALSE,16203,13555,83.7,13153,81.2,402,3,2648
2019,"White","Total","35-44",TRUE,30770,25806,83.9,25174,81.8,633,2.5,4964
2019,"White","Total","35-39",FALSE,15979,13408,83.9,13080,81.9,328,2.4,2571
2019,"White","Total","40-44",FALSE,14791,12398,83.8,12094,81.8,304,2.5,2393
2019,"White","Total","45-54",TRUE,31306,25687,82,25042,80,645,2.5,5619
2019,"White","Total","45-49",FALSE,15420,12826,83.2,12511,81.1,315,2.5,2595
2019,"White","Total","50-54",FALSE,15886,12861,81,12531,78.9,330,2.6,3025
2019,"White","Total","55-64",TRUE,33915,22599,66.6,22046,65,553,2.4,11316
2019,"White","Total","55-59",FALSE,17354,12846,74,12533,72.2,313,2.4,4507
2019,"White","Total","60-64",FALSE,16561,9753,58.9,9513,57.4,240,2.5,6808
2019,"White","Total","65+",TRUE,44346,8986,20.3,8733,19.7,253,2.8,35360
2019,"White","Total","65-69",FALSE,14227,4950,34.8,4821,33.9,128,2.6,9278
2019,"White","Total","70-74",FALSE,11703,2354,20.1,2284,19.5,69,2.9,9350
2019,"White","Total","75+",FALSE,18415,1682,9.1,1627,8.8,55,3.3,16733
2019,"White","Men","16+",FALSE,98220,68367,69.6,66100,67.3,2266,3.3,29853
2019,"White","Men","16-19",FALSE,6227,2330,37.4,2030,32.6,299,12.8,3897
2019,"White","Men","16-17",FALSE,3265,828,25.4,711,21.8,118,14.2,2436
2019,"White","Men","18-19",FALSE,2962,1501,50.7,1320,44.5,182,12.1,1461
2019,"White","Men","20-24",FALSE,7769,5930,76.3,5543,71.3,387,6.5,1839
2019,"White","Men","25-54",TRUE,47539,42920,90.3,41766,87.9,1154,2.7,4618
2019,"White","Men","25-34",TRUE,16567,15002,90.6,14517,87.6,486,3.2,1565
2019,"White","Men","25-29",FALSE,8394,7526,89.7,7247,86.3,279,3.7,868
2019,"White","Men","30-34",FALSE,8173,7477,91.5,7270,88.9,207,2.8,697
2019,"White","Men","35-44",TRUE,15412,14189,92.1,13865,90,325,2.3,1222
2019,"White","Men","35-39",FALSE,8017,7404,92.4,7233,90.2,171,2.3,613
2019,"White","Men","40-44",FALSE,7395,6785,91.8,6632,89.7,154,2.3,610
2019,"White","Men","45-54",TRUE,15559,13729,88.2,13385,86,344,2.5,1831
2019,"White","Men","45-49",FALSE,7674,6854,89.3,6684,87.1,170,2.5,820
2019,"White","Men","50-54",FALSE,7886,6875,87.2,6701,85,174,2.5,1011
2019,"White","Men","55-64",TRUE,16532,12130,73.4,11840,71.6,290,2.4,4403
2019,"White","Men","55-59",FALSE,8516,6862,80.6,6705,78.7,157,2.3,1654
2019,"White","Men","60-64",FALSE,8017,5268,65.7,5135,64.1,133,2.5,2749
2019,"White","Men","65+",TRUE,20153,5057,25.1,4921,24.4,136,2.7,15096
2019,"White","Men","65-69",FALSE,6771,2731,40.3,2658,39.2,74,2.7,4040
2019,"White","Men","70-74",FALSE,5496,1355,24.6,1318,24,36,2.7,4142
2019,"White","Men","75+",FALSE,7886,971,12.3,945,12,26,2.7,6915
2019,"White","Women","16+",FALSE,102607,58233,56.8,56341,54.9,1893,3.2,44374
2019,"White","Women","16-19",FALSE,6020,2265,37.6,2036,33.8,228,10.1,3755
2019,"White","Women","16-17",FALSE,3154,816,25.9,718,22.8,98,12,2338
2019,"White","Women","18-19",FALSE,2865,1449,50.6,1318,46,131,9,1417
2019,"White","Women","20-24",FALSE,7658,5465,71.4,5196,67.8,269,4.9,2193
2019,"White","Women","25-54",TRUE,47354,36106,76.2,35090,74.1,1016,2.8,11248
2019,"White","Women","25-34",TRUE,16249,12532,77.1,12124,74.6,407,3.2,3718
2019,"White","Women","25-29",FALSE,8220,6453,78.5,6241,75.9,212,3.3,1767
2019,"White","Women","30-34",FALSE,8029,6078,75.7,5883,73.3,195,3.2,1951
2019,"White","Women","35-44",TRUE,15359,11617,75.6,11309,73.6,308,2.6,3742
2019,"White","Women","35-39",FALSE,7962,6004,75.4,5847,73.4,157,2.6,1958
2019,"White","Women","40-44",FALSE,7396,5613,75.9,5462,73.8,151,2.7,1784
2019,"White","Women","45-54",TRUE,15747,11958,75.9,11657,74,301,2.5,3789
2019,"White","Women","45-49",FALSE,7747,5972,77.1,5826,75.2,145,2.4,1775
2019,"White","Women","50-54",FALSE,8000,5986,74.8,5831,72.9,156,2.6,2014
2019,"White","Women","55-64",TRUE,17382,10469,60.2,10206,58.7,263,2.5,6913
2019,"White","Women","55-59",FALSE,8838,5984,67.7,5829,65.9,156,2.6,2854
2019,"White","Women","60-64",FALSE,8544,4485,52.5,4378,51.2,107,2.4,4059
2019,"White","Women","65+",TRUE,24193,3928,16.2,3812,15.8,116,3,20264
2019,"White","Women","65-69",FALSE,7457,2218,29.7,2164,29,55,2.5,5238
2019,"White","Women","70-74",FALSE,6207,999,16.1,966,15.6,33,3.3,5208
2019,"White","Women","75+",FALSE,10529,711,6.8,682,6.5,29,4,9818
2019,"Black or African American","Total","16+",FALSE,33036,20632,62.5,19381,58.7,1251,6.1,12404
2019,"Black or African American","Total","16-19",FALSE,2463,741,30.1,588,23.9,153,20.7,1722
2019,"Black or African American","Total","16-17",FALSE,1308,234,17.9,180,13.7,54,23.1,1074
2019,"Black or African American","Total","18-19",FALSE,1155,507,43.9,408,35.3,99,19.6,647
2019,"Black or African American","Total","20-24",FALSE,3104,2186,70.4,1935,62.3,251,11.5,918
2019,"Black or African American","Total","25-54",TRUE,17317,13861,80,13164,76,697,5,3456
2019,"Black or African American","Total","25-34",TRUE,6636,5344,80.5,5014,75.6,330,6.2,1292
2019,"Black or African American","Total","25-29",FALSE,3550,2818,79.4,2615,73.7,203,7.2,732
2019,"Black or African American","Total","30-34",FALSE,3086,2527,81.9,2399,77.7,127,5,560
