"year","occupation","occ_level","occ_group","occ_subgroup","total_16plus","men_16plus","men_20plus","women_16plus","women_20plus"
2019,"Management, professional, and related occupations",0,"management_professional",NA,64218,30950,30775,33267,33015
2019,"Management, business, and financial operations occupations",1,"management_professional","management_business_financial",26981,15072,15030,11909,11870
2019,"Management occupations",2,"management_professional","management_business_financial",18985,11394,11364,7591,7559
2019,"Business and financial operations occupations",2,"management_professional","management_business_financial",7996,3678,3666,4318,4311
2019,"Professional and related occupations",1,"management_professional","professional_related",37237,15879,15745,21358,21146
2019,"Computer and mathematical occupations",2,"management_professional","professional_related",5352,3973,3956,1379,1370
2019,"Architecture and engineering occupations",2,"management_professional","professional_related",3305,2785,2774,520,518
2019,"Life, physical, and social science occupations",2,"management_professional","professional_related",1485,752,747,733,729
2019,"Community and social service occupations",2,"management_professional","professional_related",2717,884,877,1833,1819
2019,"Legal occupations",2,"management_professional","professional_related",1955,925,922,1030,1028
2019,"Education, training, and library occupations",2,"management_professional","professional_related",9455,2500,2466,6955,6863
2019,"Arts, design, entertainment, sports, and media occupations",2,"management_professional","professional_related",3285,1676,1627,1609,1557
2019,"Healthcare practitioners and technical occupations",2,"management_professional","professional_related",9684,2384,2375,7300,7261
2019,"Service occupations",0,"service",NA,26978,11445,10481,15534,14371
2019,"Healthcare support occupations",1,"service",NA,3758,491,476,3267,3178
2019,"Protective service occupations",1,"service",NA,3128,2437,2381,692,651
2019,"Food preparation and serving related occupations",1,"service",NA,8378,3808,3164,4569,3835
2019,"Building and grounds cleaning and maintenance occupations",1,"service",NA,5746,3332,3184,2413,2357
2019,"Personal care and service occupations",1,"service",NA,5968,1376,1275,4592,4350
2019,"Sales and office occupations",0,"sales_office",NA,33370,13148,12479,20222,19175
2019,"Sales and related occupations",1,"sales_office",NA,15582,7979,7590,7602,6892
2019,"Office and administrative support occupations",1,"sales_office",NA,17789,5169,4889,12620,12283
2019,"Natural resources, construction, and maintenance occupations",0,"natural_resources_construction",NA,14343,13569,13258,774,749
2019,"Farming, fishing, and forestry occupations",1,"natural_resources_construction",NA,1156,865,807,291,274
2019,"Construction and extraction occupations",1,"natural_resources_construction",NA,8325,8033,7867,292,287
2019,"Installation, maintenance, and repair occupations",1,"natural_resources_construction",NA,4862,4671,4584,191,188
2019,"Production, transportation, and material moving occupations",0,"production_transportation",NA,18628,14348,13925,4281,4160
2019,"Production occupations",1,"production_transportation",NA,8565,6115,5992,2450,2403
2019,"Transportation and material moving occupations",1,"production_transportation",NA,10063,8233,7933,1831,1757
2020,"Management, professional, and related occupations",0,"management_professional",NA,63644,30734,30577,32910,32684
2020,"Management, business, and financial operations occupations",1,"management_professional","management_business_financial",27143,15028,14975,12114,12079
2020,"Management occupations",2,"management_professional","management_business_financial",18564,11072,11032,7493,7473
2020,"Business and financial operations occupations",2,"management_professional","management_business_financial",8578,3957,3943,4622,4606
2020,"Professional and related occupations",1,"management_professional","professional_related",36502,15706,15602,20796,20605
2020,"Computer and mathematical occupations",2,"management_professional","professional_related",5603,4193,4178,1410,1401
2020,"Architecture and engineering occupations",2,"management_professional","professional_related",3169,2648,2635,522,520
2020,"Life, physical, and social science occupations",2,"management_professional","professional_related",1627,824,823,803,798
2020,"Community and social service occupations",2,"management_professional","professional_related",2717,847,840,1871,1862
2020,"Legal occupations",2,"management_professional","professional_related",1882,905,905,977,975
2020,"Education, training, and library occupations",2,"management_professional","professional_related",8902,2355,2330,6547,6461
2020,"Arts, design, entertainment, sports, and media occupations",2,"management_professional","professional_related",3042,1482,1457,1560,1520
2020,"Healthcare practitioners and technical occupations",2,"management_professional","professional_related",9559,2452,2433,7107,7068
2020,"Service occupations",0,"service",NA,22853,9820,9017,13033,12023
2020,"Healthcare support occupations",1,"service",NA,4790,703,683,4087,3983
2020,"Protective service occupations",1,"service",NA,3024,2310,2273,714,671
2020,"Food preparation and serving related occupations",1,"service",NA,6556,2989,2425,3566,2900
2020,"Building and grounds cleaning and maintenance occupations",1,"service",NA,5084,3036,2908,2048,1998
2020,"Personal care and service occupations",1,"service",NA,3399,781,728,2618,2470
2020,"Sales and office occupations",0,"sales_office",NA,29726,11506,11008,18221,17292
2020,"Sales and related occupations",1,"sales_office",NA,14168,7261,6925,6907,6245
2020,"Office and administrative support occupations",1,"sales_office",NA,15558,4244,4083,11314,11047
2020,"Natural resources, construction, and maintenance occupations",0,"natural_resources_construction",NA,13357,12607,12286,750,729
2020,"Farming, fishing, and forestry occupations",1,"natural_resources_construction",NA,1045,793,726,252,240
2020,"Construction and extraction occupations",1,"natural_resources_construction",NA,7710,7402,7233,308,302
2020,"Installation, maintenance, and repair occupations",1,"natural_resources_construction",NA,4602,4411,4327,190,187
2020,"Production, transportation, and material moving occupations",0,"production_transportation",NA,18215,13894,13339,4321,4145
2020,"Production occupations",1,"production_transportation",NA,7590,5443,5331,2147,2102
2020,"Transportation and material moving occupations",1,"production_transportation",NA,10625,8451,8008,2174,2042
2021,"Management, professional, and related occupations",0,"management_professional",NA,64744,31109,30948,33636,33376
2021,"Management, business, and financial operations occupations",1,"management_professional","management_business_financial",27864,15231,15188,12633,12576
