"year","soc_system","occupation","occ_category","occ_group","occ_level","soc_note","total_16plus","age_16to19","age_20to24","age_25to34","age_35to44","age_45to54","age_55to64","age_65plus","median_age"
2019,"2010_SOC","Management, professional, and related occupations",NA,NA,NA,NA,64218,428,3402,15126,15133,14103,11360,4665,43.8
2019,"2010_SOC","Management, business, and financial operations occupations",NA,NA,NA,NA,26981,82,969,5529,6330,6469,5394,2208,45.9
2019,"2010_SOC","Management occupations",NA,NA,NA,NA,18985,62,536,3452,4524,4731,4024,1655,47
2019,"2010_SOC","Chief executives",NA,NA,NA,NA,1602,2,5,121,329,461,465,219,52.7
2019,"2010_SOC","General and operations managers",NA,NA,NA,NA,1058,0,19,258,282,257,196,46,44.2
2019,"2010_SOC","Legislators",NA,NA,NA,NA,19,0,0,3,2,1,5,7,NA
2019,"2010_SOC","Advertising and promotions managers",NA,NA,NA,NA,55,0,9,13,12,10,8,3,40.2
2019,"2010_SOC","Marketing and sales managers",NA,NA,NA,NA,1184,4,69,283,313,289,180,45,42.5
2019,"2010_SOC","Public relations and fundraising managers",NA,NA,NA,NA,73,0,2,19,12,17,19,4,44.8
2019,"2010_SOC","Administrative services managers",NA,NA,NA,NA,184,1,3,19,41,46,56,18,51.4
2019,"2010_SOC","Computer and information systems managers","it","it_management","occupation",NA,654,1,6,115,197,198,116,23,45.3
2019,"2010_SOC","Financial managers",NA,NA,NA,NA,1194,1,30,264,332,299,210,58,44
2019,"2010_SOC","Compensation and benefits managers",NA,NA,NA,NA,24,0,2,1,6,10,3,2,NA
2019,"2010_SOC","Human resources managers",NA,NA,NA,NA,321,1,6,64,99,77,64,11,44.3
2019,"2010_SOC","Training and development managers",NA,NA,NA,NA,46,2,1,9,17,6,9,2,NA
2019,"2010_SOC","Industrial production managers",NA,NA,NA,NA,274,0,3,51,77,68,65,11,45.4
2019,"2010_SOC","Purchasing managers",NA,NA,NA,NA,227,0,5,44,56,67,46,9,46.4
2019,"2010_SOC","Transportation, storage, and distribution managers",NA,NA,NA,NA,281,0,11,55,59,77,69,10,47.2
2019,"2010_SOC","Farmers, ranchers, and other agricultural managers",NA,NA,NA,NA,962,3,23,114,132,145,251,296,56.1
2019,"2010_SOC","Construction managers",NA,NA,NA,NA,994,1,27,184,259,233,214,77,46.5
2019,"2010_SOC","Education administrators",NA,NA,NA,NA,958,4,21,140,255,307,178,52,46.4
2019,"2010_SOC","Architectural and engineering managers","engineering","arch_engineering","occupation",NA,154,0,1,21,41,45,41,5,47.9
2019,"2010_SOC","Food service managers",NA,NA,NA,NA,1249,24,131,309,283,264,176,61,41
2019,"2010_SOC","Funeral service managers",NA,NA,NA,NA,13,0,0,0,2,1,6,4,NA
2019,"2010_SOC","Gaming managers",NA,NA,NA,NA,19,0,2,1,4,6,3,2,NA
2019,"2010_SOC","Lodging managers",NA,NA,NA,NA,162,1,8,37,36,32,31,18,45.9
2019,"2010_SOC","Medical and health services managers",NA,NA,NA,NA,677,1,8,135,177,164,142,50,46.1
2019,"2010_SOC","Natural sciences managers","life_science","life_science","occupation",NA,15,0,0,1,3,8,0,1,NA
2019,"2010_SOC","Postmasters and mail superintendents",NA,NA,NA,NA,30,0,0,3,7,10,9,2,NA
2019,"2010_SOC","Property, real estate, and community association managers",NA,NA,NA,NA,780,1,21,152,140,162,169,134,49.6
2019,"2010_SOC","Social and community service managers",NA,NA,NA,NA,470,3,17,96,109,107,97,41,46.5
2019,"2010_SOC","Emergency management directors",NA,NA,NA,NA,7,0,0,1,0,4,1,0,NA
2019,"2010_SOC","Managers, all other",NA,NA,NA,NA,5299,12,105,939,1243,1360,1196,444,47.8
2019,"2010_SOC","Business and financial operations occupations",NA,NA,NA,NA,7996,19,433,2076,1806,1738,1370,554,43.3
2019,"2010_SOC","Agents and business managers of artists, performers, and athletes",NA,NA,NA,NA,47,1,3,11,12,10,3,7,NA
2019,"2010_SOC","Buyers and purchasing agents, farm products",NA,NA,NA,NA,16,0,1,4,6,1,1,3,NA
2019,"2010_SOC","Wholesale and retail buyers, except farm products",NA,NA,NA,NA,226,1,20,56,41,38,50,20,44.3
2019,"2010_SOC","Purchasing agents, except wholesale, retail, and farm products",NA,NA,NA,NA,279,0,16,57,56,73,53,23,46
2019,"2010_SOC","Claims adjusters, appraisers, examiners, and investigators",NA,NA,NA,NA,318,0,11,64,81,88,58,16,45.2
2019,"2010_SOC","Compliance officers",NA,NA,NA,NA,298,0,10,56,84,85,50,13,44.3
2019,"2010_SOC","Cost estimators",NA,NA,NA,NA,127,0,2,27,25,26,31,15,48
2019,"2010_SOC","Human resources workers",NA,NA,NA,NA,770,2,43,235,195,155,105,35,40.7
2019,"2010_SOC","Compensation, benefits, and job analysis specialists",NA,NA,NA,NA,51,1,2,10,11,15,8,4,45.8
2019,"2010_SOC","Training and development specialists",NA,NA,NA,NA,125,2,2,26,29,28,30,8,46.6
2019,"2010_SOC","Logisticians",NA,NA,NA,NA,154,0,12,45,33,41,20,3,41.9
2019,"2010_SOC","Management analysts",NA,NA,NA,NA,950,1,31,241,191,203,181,102,45.7
2019,"2010_SOC","Meeting, convention, and event planners",NA,NA,NA,NA,146,1,22,47,27,28,15,6,36.6
2019,"2010_SOC","Fundraisers",NA,NA,NA,NA,93,0,5,29,23,17,11,8,40.6
2019,"2010_SOC","Market research analysts and marketing specialists",NA,NA,NA,NA,369,1,41,128,86,68,32,12,37.5
2019,"2010_SOC","Business operations specialists, all other",NA,NA,NA,NA,269,1,19,69,62,49,55,14,42.8
2019,"2010_SOC","Accountants and auditors",NA,NA,NA,NA,1964,5,91,503,413,429,364,160,44.4
2019,"2010_SOC","Appraisers and assessors of real estate",NA,NA,NA,NA,84,1,0,9,18,18,28,10,51.4
2019,"2010_SOC","Budget analysts",NA,NA,NA,NA,51,0,1,19,10,11,9,1,41.3
2019,"2010_SOC","Credit analysts",NA,NA,NA,NA,28,0,5,8,8,4,3,0,NA
2019,"2010_SOC","Financial analysts",NA,NA,NA,NA,345,1,27,119,94,67,29,7,38.2
2019,"2010_SOC","Personal financial advisors",NA,NA,NA,NA,551,0,31,140,133,112,93,41,43.4
2019,"2010_SOC","Insurance underwriters",NA,NA,NA,NA,105,1,8,23,21,31,18,3,44.5
2019,"2010_SOC","Financial examiners",NA,NA,NA,NA,21,0,0,3,7,2,10,0,NA
2019,"2010_SOC","Credit counselors and loan officers",NA,NA,NA,NA,403,1,20,104,103,88,70,17,42.2
2019,"2010_SOC","Tax examiners and collectors, and revenue agents",NA,NA,NA,NA,53,0,0,12,11,12,14,3,47.8
2019,"2010_SOC","Tax preparers",NA,NA,NA,NA,97,0,7,14,12,20,22,23,53.4
2019,"2010_SOC","Financial specialists, all other",NA,NA,NA,NA,57,0,3,15,15,16,7,1,41.6
2019,"2010_SOC","Professional and related occupations",NA,NA,NA,NA,37237,346,2433,9598,8803,7634,5966,2457,42.4
2019,"2010_SOC","Computer and mathematical occupations","it","computer","group",NA,5352,26,354,1593,1414,1092,700,173,40.5
2019,"2010_SOC","Computer and information research scientists","it","computer","occupation",NA,24,0,4,6,7,4,1,1,NA
2019,"2010_SOC","Computer systems analysts","it","computer","occupation",NA,663,1,59,191,181,121,94,16,39.9
2019,"2010_SOC","Information security analysts","it","computer","occupation",NA,125,1,12,46,31,18,15,2,38.1
2019,"2010_SOC","Computer programmers","it","computer","occupation",NA,454,2,19,117,105,116,72,24,43.5
2019,"2010_SOC","Software developers, applications and systems software","it","computer","occupation","2019 only; split into two titles in 2020+",1815,2,111,640,496,313,195,56,39.2
2019,"2010_SOC","Web developers","it","computer","occupation",NA,193,4,15,56,60,36,16,7,38.9
2019,"2010_SOC","Computer support specialists","it","computer","occupation",NA,547,5,36,158,145,119,68,15,40.6
2019,"2010_SOC","Database administrators","it","computer","occupation","2019 only; renamed in 2020+",106,0,5,21,29,27,18,7,44.5
2019,"2010_SOC","Network and computer systems administrators","it","computer","occupation",NA,199,0,8,48,65,50,25,4,42
2019,"2010_SOC","Computer network architects","it","computer","occupation",NA,106,0,1,15,32,37,19,3,45.4
2019,"2010_SOC","Computer occupations, all other","it","computer","occupation",NA,808,11,61,205,190,188,121,33,41.4
2019,"2010_SOC","Actuaries",NA,NA,NA,NA,33,0,1,7,7,10,7,0,NA
2019,"2010_SOC","Mathematicians",NA,NA,NA,NA,3,0,1,0,1,1,0,0,NA
2019,"2010_SOC","Operations research analysts","it","data_science","occupation",NA,152,0,8,42,34,35,30,4,43.3
2019,"2010_SOC","Statisticians","it","data_science","occupation",NA,101,0,9,35,26,14,15,2,38.9
2019,"2010_SOC","Miscellaneous mathematical science occupations",NA,NA,NA,NA,22,0,5,6,5,4,4,0,NA
2019,"2010_SOC","Architecture and engineering occupations","engineering","arch_engineering","group",NA,3305,13,209,871,718,659,663,173,43.3
2019,"2010_SOC","Architects, except naval","engineering","arch_engineering","occupation","2019 only; renamed in 2020+",208,0,3,42,53,43,46,21,46.2
2019,"2010_SOC","Surveyors, cartographers, and photogrammetrists","engineering","arch_engineering","occupation",NA,48,0,1,9,9,10,13,5,NA
2019,"2010_SOC","Aerospace engineers","engineering","arch_engineering","occupation",NA,134,0,4,36,23,22,39,10,48.1
2019,"2010_SOC","Agricultural engineers","engineering","arch_engineering","occupation",NA,6,0,0,3,0,0,2,0,NA
2019,"2010_SOC","Biomedical engineers","engineering","arch_engineering","occupation","2019 only; renamed in 2020+",25,0,4,8,6,1,5,1,NA
2019,"2010_SOC","Chemical engineers","engineering","arch_engineering","occupation",NA,87,0,6,28,14,17,15,6,42.8
2019,"2010_SOC","Civil engineers","engineering","arch_engineering","occupation",NA,475,0,37,134,109,75,90,29,41.5
2019,"2010_SOC","Computer hardware engineers","engineering","arch_engineering","occupation",NA,77,0,12,17,22,11,13,1,39.9
2019,"2010_SOC","Electrical and electronics engineers","engineering","arch_engineering","occupation",NA,285,0,13,70,69,54,61,18,44.2
2019,"2010_SOC","Environmental engineers","engineering","arch_engineering","occupation",NA,25,0,0,8,5,6,3,2,NA
2019,"2010_SOC","Industrial engineers, including health and safety","engineering","arch_engineering","occupation",NA,245,1,11,64,56,53,49,11,43.4
2019,"2010_SOC","Marine engineers and naval architects","engineering","arch_engineering","occupation",NA,12,0,0,4,3,3,2,0,NA
2019,"2010_SOC","Materials engineers","engineering","arch_engineering","occupation",NA,44,0,1,16,7,10,8,3,NA
2019,"2010_SOC","Mechanical engineers","engineering","arch_engineering","occupation",NA,351,4,22,113,74,73,54,12,40.8
2019,"2010_SOC","Mining and geological engineers, including mining safety engineers","engineering","arch_engineering","occupation",NA,8,0,0,2,1,2,3,0,NA
2019,"2010_SOC","Nuclear engineers","engineering","arch_engineering","occupation",NA,8,0,0,3,1,1,2,2,NA
2019,"2010_SOC","Petroleum engineers","engineering","arch_engineering","occupation",NA,24,0,1,7,9,4,2,1,NA
2019,"2010_SOC","Engineers, all other","engineering","arch_engineering","occupation",NA,582,1,32,150,128,118,125,27,43.6
2019,"2010_SOC","Drafters","engineering","arch_engineering","occupation","2019 only; split into two titles in 2020+",113,0,12,23,24,32,17,4,44
2019,"2010_SOC","Engineering technicians, except drafters","engineering","eng_technician","occupation","2019 only; split into two titles in 2020+",496,5,41,120,97,111,106,15,43.7
2019,"2010_SOC","Surveying and mapping technicians","engineering","eng_technician","occupation",NA,53,1,7,13,6,13,8,5,44.6
2019,"2010_SOC","Life, physical, and social science occupations","life_science","life_science","group",NA,1485,9,137,427,320,262,231,99,41
2019,"2010_SOC","Agricultural and food scientists","life_science","life_science","occupation",NA,37,0,8,13,6,5,6,1,NA
2019,"2010_SOC","Biological scientists","life_science","life_science","occupation",NA,104,0,8,32,23,23,12,7,41.2
2019,"2010_SOC","Conservation scientists and foresters","life_science","life_science","occupation",NA,20,0,1,3,8,3,4,1,NA
2019,"2010_SOC","Medical scientists","life_science","life_science","occupation",NA,170,0,12,59,43,24,25,7,38.8
2019,"2010_SOC","Life scientists, all other","life_science","life_science","occupation",NA,2,0,1,1,0,1,0,0,NA
2019,"2010_SOC","Astronomers and physicists","life_science","physical_science","occupation",NA,17,0,0,4,4,3,6,1,NA
2019,"2010_SOC","Atmospheric and space scientists","life_science","physical_science","occupation",NA,10,0,0,2,2,2,4,0,NA
2019,"2010_SOC","Chemists and materials scientists","life_science","physical_science","occupation",NA,97,0,7,35,16,16,17,5,40.9
