"year","soc_system","occupation","occ_category","occ_group","occ_level","soc_note","total_16plus","age_16to19","age_20to24","age_25to34","age_35to44","age_45to54","age_55to64","age_65plus","median_age"
2019,"2010_SOC","Computer and information systems managers","it","it_management","occupation",NA,654,1,6,115,197,198,116,23,45.3
2019,"2010_SOC","Architectural and engineering managers","engineering","arch_engineering","occupation",NA,154,0,1,21,41,45,41,5,47.9
2019,"2010_SOC","Natural sciences managers","life_science","life_science","occupation",NA,15,0,0,1,3,8,0,1,NA
2019,"2010_SOC","Computer and mathematical occupations","it","computer","group",NA,5352,26,354,1593,1414,1092,700,173,40.5
2019,"2010_SOC","Computer and information research scientists","it","computer","occupation",NA,24,0,4,6,7,4,1,1,NA
2019,"2010_SOC","Computer systems analysts","it","computer","occupation",NA,663,1,59,191,181,121,94,16,39.9
2019,"2010_SOC","Information security analysts","it","computer","occupation",NA,125,1,12,46,31,18,15,2,38.1
2019,"2010_SOC","Computer programmers","it","computer","occupation",NA,454,2,19,117,105,116,72,24,43.5
2019,"2010_SOC","Software developers, applications and systems software","it","computer","occupation","2019 only; split into two titles in 2020+",1815,2,111,640,496,313,195,56,39.2
2019,"2010_SOC","Web developers","it","computer","occupation",NA,193,4,15,56,60,36,16,7,38.9
2019,"2010_SOC","Computer support specialists","it","computer","occupation",NA,547,5,36,158,145,119,68,15,40.6
2019,"2010_SOC","Database administrators","it","computer","occupation","2019 only; renamed in 2020+",106,0,5,21,29,27,18,7,44.5
2019,"2010_SOC","Network and computer systems administrators","it","computer","occupation",NA,199,0,8,48,65,50,25,4,42
2019,"2010_SOC","Computer network architects","it","computer","occupation",NA,106,0,1,15,32,37,19,3,45.4
2019,"2010_SOC","Computer occupations, all other","it","computer","occupation",NA,808,11,61,205,190,188,121,33,41.4
2019,"2010_SOC","Operations research analysts","it","data_science","occupation",NA,152,0,8,42,34,35,30,4,43.3
2019,"2010_SOC","Statisticians","it","data_science","occupation",NA,101,0,9,35,26,14,15,2,38.9
2019,"2010_SOC","Architecture and engineering occupations","engineering","arch_engineering","group",NA,3305,13,209,871,718,659,663,173,43.3
2019,"2010_SOC","Architects, except naval","engineering","arch_engineering","occupation","2019 only; renamed in 2020+",208,0,3,42,53,43,46,21,46.2
2019,"2010_SOC","Surveyors, cartographers, and photogrammetrists","engineering","arch_engineering","occupation",NA,48,0,1,9,9,10,13,5,NA
2019,"2010_SOC","Aerospace engineers","engineering","arch_engineering","occupation",NA,134,0,4,36,23,22,39,10,48.1
2019,"2010_SOC","Agricultural engineers","engineering","arch_engineering","occupation",NA,6,0,0,3,0,0,2,0,NA
2019,"2010_SOC","Biomedical engineers","engineering","arch_engineering","occupation","2019 only; renamed in 2020+",25,0,4,8,6,1,5,1,NA
2019,"2010_SOC","Chemical engineers","engineering","arch_engineering","occupation",NA,87,0,6,28,14,17,15,6,42.8
2019,"2010_SOC","Civil engineers","engineering","arch_engineering","occupation",NA,475,0,37,134,109,75,90,29,41.5
2019,"2010_SOC","Computer hardware engineers","engineering","arch_engineering","occupation",NA,77,0,12,17,22,11,13,1,39.9
2019,"2010_SOC","Electrical and electronics engineers","engineering","arch_engineering","occupation",NA,285,0,13,70,69,54,61,18,44.2
2019,"2010_SOC","Environmental engineers","engineering","arch_engineering","occupation",NA,25,0,0,8,5,6,3,2,NA
2019,"2010_SOC","Industrial engineers, including health and safety","engineering","arch_engineering","occupation",NA,245,1,11,64,56,53,49,11,43.4
2019,"2010_SOC","Marine engineers and naval architects","engineering","arch_engineering","occupation",NA,12,0,0,4,3,3,2,0,NA
2019,"2010_SOC","Materials engineers","engineering","arch_engineering","occupation",NA,44,0,1,16,7,10,8,3,NA
2019,"2010_SOC","Mechanical engineers","engineering","arch_engineering","occupation",NA,351,4,22,113,74,73,54,12,40.8
2019,"2010_SOC","Mining and geological engineers, including mining safety engineers","engineering","arch_engineering","occupation",NA,8,0,0,2,1,2,3,0,NA
2019,"2010_SOC","Nuclear engineers","engineering","arch_engineering","occupation",NA,8,0,0,3,1,1,2,2,NA
2019,"2010_SOC","Petroleum engineers","engineering","arch_engineering","occupation",NA,24,0,1,7,9,4,2,1,NA
2019,"2010_SOC","Engineers, all other","engineering","arch_engineering","occupation",NA,582,1,32,150,128,118,125,27,43.6
2019,"2010_SOC","Drafters","engineering","arch_engineering","occupation","2019 only; split into two titles in 2020+",113,0,12,23,24,32,17,4,44
2019,"2010_SOC","Engineering technicians, except drafters","engineering","eng_technician","occupation","2019 only; split into two titles in 2020+",496,5,41,120,97,111,106,15,43.7
2019,"2010_SOC","Surveying and mapping technicians","engineering","eng_technician","occupation",NA,53,1,7,13,6,13,8,5,44.6
2019,"2010_SOC","Life, physical, and social science occupations","life_science","life_science","group",NA,1485,9,137,427,320,262,231,99,41
2019,"2010_SOC","Agricultural and food scientists","life_science","life_science","occupation",NA,37,0,8,13,6,5,6,1,NA
2019,"2010_SOC","Biological scientists","life_science","life_science","occupation",NA,104,0,8,32,23,23,12,7,41.2
2019,"2010_SOC","Conservation scientists and foresters","life_science","life_science","occupation",NA,20,0,1,3,8,3,4,1,NA
2019,"2010_SOC","Medical scientists","life_science","life_science","occupation",NA,170,0,12,59,43,24,25,7,38.8
2019,"2010_SOC","Life scientists, all other","life_science","life_science","occupation",NA,2,0,1,1,0,1,0,0,NA
2019,"2010_SOC","Astronomers and physicists","life_science","physical_science","occupation",NA,17,0,0,4,4,3,6,1,NA
2019,"2010_SOC","Atmospheric and space scientists","life_science","physical_science","occupation",NA,10,0,0,2,2,2,4,0,NA
2019,"2010_SOC","Chemists and materials scientists","life_science","physical_science","occupation",NA,97,0,7,35,16,16,17,5,40.9
2019,"2010_SOC","Environmental scientists and geoscientists","life_science","physical_science","occupation","2019 only; split into two titles in 2020+",119,1,10,32,31,18,18,10,41.1
2019,"2010_SOC","Physical scientists, all other","life_science","physical_science","occupation",NA,298,0,23,99,71,50,45,10,39.6
2019,"2010_SOC","Agricultural and food science technicians","life_science","science_technician","occupation",NA,20,0,5,4,1,3,4,3,NA
2019,"2010_SOC","Biological technicians","life_science","science_technician","occupation",NA,23,0,3,8,6,3,4,0,NA
2019,"2010_SOC","Chemical technicians","life_science","science_technician","occupation",NA,56,1,3,17,15,11,9,1,40
2019,"2010_SOC","Geological and petroleum technicians","life_science","science_technician","occupation","2019 only; absorbed into env. science technicians in 2020+",20,0,1,3,6,8,0,1,NA
2019,"2010_SOC","Nuclear technicians","life_science","science_technician","occupation",NA,3,0,0,0,0,1,1,0,NA
