"measure_type","year","reason","demographic","value"
"count",2019,"Total unemployed","Total 16+",6001
"count",2019,"Total unemployed","Men 20+",2819
"count",2019,"Total unemployed","Women 20+",2435
"count",2019,"Total unemployed","Both sexes 16-19",746
"count",2019,"Job losers and persons who completed temporary jobs","Total 16+",2786
"count",2019,"Job losers and persons who completed temporary jobs","Men 20+",1548
"count",2019,"Job losers and persons who completed temporary jobs","Women 20+",1132
"count",2019,"Job losers and persons who completed temporary jobs","Both sexes 16-19",106
"count",2019,"On temporary layoff","Total 16+",823
"count",2019,"On temporary layoff","Men 20+",457
"count",2019,"On temporary layoff","Women 20+",324
"count",2019,"On temporary layoff","Both sexes 16-19",42
"count",2019,"Not on temporary layoff","Total 16+",1963
"count",2019,"Not on temporary layoff","Men 20+",1091
"count",2019,"Not on temporary layoff","Women 20+",807
"count",2019,"Not on temporary layoff","Both sexes 16-19",64
"count",2019,"Permanent job losers","Total 16+",1343
"count",2019,"Permanent job losers","Men 20+",736
"count",2019,"Permanent job losers","Women 20+",569
"count",2019,"Permanent job losers","Both sexes 16-19",37
"count",2019,"Persons who completed temporary jobs","Total 16+",620
"count",2019,"Persons who completed temporary jobs","Men 20+",355
"count",2019,"Persons who completed temporary jobs","Women 20+",238
"count",2019,"Persons who completed temporary jobs","Both sexes 16-19",26
"count",2019,"Job leavers","Total 16+",814
"count",2019,"Job leavers","Men 20+",418
"count",2019,"Job leavers","Women 20+",344
"count",2019,"Job leavers","Both sexes 16-19",52
"count",2019,"Reentrants","Total 16+",1810
"count",2019,"Reentrants","Men 20+",708
"count",2019,"Reentrants","Women 20+",836
"count",2019,"Reentrants","Both sexes 16-19",265
"count",2019,"New entrants","Total 16+",591
"count",2019,"New entrants","Men 20+",144
"count",2019,"New entrants","Women 20+",123
"count",2019,"New entrants","Both sexes 16-19",323
"pct_dist",2019,"Total unemployed","Total 16+",100
"pct_dist",2019,"Total unemployed","Men 20+",100
"pct_dist",2019,"Total unemployed","Women 20+",100
"pct_dist",2019,"Total unemployed","Both sexes 16-19",100
"pct_dist",2019,"Job losers and persons who completed temporary jobs","Total 16+",46.4
"pct_dist",2019,"Job losers and persons who completed temporary jobs","Men 20+",54.9
"pct_dist",2019,"Job losers and persons who completed temporary jobs","Women 20+",46.5
"pct_dist",2019,"Job losers and persons who completed temporary jobs","Both sexes 16-19",14.2
"pct_dist",2019,"On temporary layoff","Total 16+",13.7
"pct_dist",2019,"On temporary layoff","Men 20+",16.2
"pct_dist",2019,"On temporary layoff","Women 20+",13.3
"pct_dist",2019,"On temporary layoff","Both sexes 16-19",5.6
"pct_dist",2019,"Not on temporary layoff","Total 16+",32.7
"pct_dist",2019,"Not on temporary layoff","Men 20+",38.7
"pct_dist",2019,"Not on temporary layoff","Women 20+",33.2
"pct_dist",2019,"Not on temporary layoff","Both sexes 16-19",8.6
"pct_dist",2019,"Job leavers","Total 16+",13.6
"pct_dist",2019,"Job leavers","Men 20+",14.8
"pct_dist",2019,"Job leavers","Women 20+",14.1
"pct_dist",2019,"Job leavers","Both sexes 16-19",7
"pct_dist",2019,"Reentrants","Total 16+",30.2
"pct_dist",2019,"Reentrants","Men 20+",25.1
"pct_dist",2019,"Reentrants","Women 20+",34.3
"pct_dist",2019,"Reentrants","Both sexes 16-19",35.5
"pct_lf",2019,"Job losers and persons who completed temporary jobs","Total 16+",1.7
