"year","section","sex","age_group","race","marital_status","total_unemployed","less_5_weeks","5_to_14_weeks","15_plus_weeks","15_to_26_weeks","27_plus_weeks","avg_duration","median_duration"
2019,"age_sex","Total","16+",NA,NA,6001,2086,1789,2126,860,1266,21.6,9.1
2019,"age_sex","Total","16-19",NA,NA,746,344,243,160,84,76,12,5.7
2019,"age_sex","Total","20-24",NA,NA,1024,384,312,327,149,178,17.8,8.3
2019,"age_sex","Total","25-34",NA,NA,1384,458,420,505,211,295,21.9,9.7
2019,"age_sex","Total","35-44",NA,NA,930,304,285,341,138,204,22.7,9.6
2019,"age_sex","Total","45-54",NA,NA,890,270,255,365,130,236,26.2,10.8
2019,"age_sex","Total","55-64",NA,NA,710,210,189,311,108,203,26.9,11.4
2019,"age_sex","Total","65+",NA,NA,317,116,84,117,41,76,27,8.8
2019,"age_sex","Men","16+",NA,NA,3227,1089,942,1195,468,727,22.5,9.6
2019,"age_sex","Men","16-19",NA,NA,408,184,126,98,51,46,12.7,6.1
2019,"age_sex","Men","20-24",NA,NA,602,204,184,214,89,125,20.2,9.1
2019,"age_sex","Men","25-34",NA,NA,741,242,222,277,110,167,23,10
2019,"age_sex","Men","35-44",NA,NA,475,153,135,186,72,114,22.6,10.2
2019,"age_sex","Men","45-54",NA,NA,471,141,136,194,72,122,26.5,11.2
2019,"age_sex","Men","55-64",NA,NA,361,102,98,160,53,108,28,11.8
2019,"age_sex","Men","65+",NA,NA,170,62,41,67,22,45,29.3,9.7
2019,"age_sex","Women","16+",NA,NA,2774,997,846,930,391,539,20.5,8.6
2019,"age_sex","Women","16-19",NA,NA,339,160,117,62,32,30,11.3,5.2
2019,"age_sex","Women","20-24",NA,NA,421,180,128,113,61,53,14.4,6.9
2019,"age_sex","Women","25-34",NA,NA,643,216,199,228,101,128,20.7,9.4
2019,"age_sex","Women","35-44",NA,NA,455,150,150,155,65,90,22.8,9
2019,"age_sex","Women","45-54",NA,NA,419,129,119,171,58,113,25.8,10.4
2019,"age_sex","Women","55-64",NA,NA,350,108,91,150,55,95,25.8,11
2019,"age_sex","Women","65+",NA,NA,147,54,43,50,19,31,24.4,8
2019,"race","Total","White, 16+","White",NA,4159,1520,1238,1401,585,816,20.2,8.6
2019,"race","Men",NA,"White",NA,2266,797,666,803,318,484,21.3,9.1
2019,"race","Women",NA,"White",NA,1893,723,571,598,267,331,18.9,8
2019,"race","Total","Black or African American, 16+","Black or African American",NA,1251,363,380,508,187,321,25.3,10.8
2019,"race","Men",NA,"Black or African American",NA,645,181,187,277,104,174,26.4,11.7
2019,"race","Women",NA,"Black or African American",NA,607,183,193,231,83,148,24.1,10.2
2019,"race","Total","Asian, 16+","Asian",NA,280,91,87,102,39,63,23.1,9.7
2019,"race","Men",NA,"Asian",NA,149,50,42,56,22,34,21.8,9.8
2019,"race","Women",NA,"Asian",NA,132,41,44,47,18,29,24.5,9.6
2019,"race","Total","Hispanic or Latino ethnicity, 16+","Hispanic or Latino",NA,1248,465,371,413,180,232,20.1,8.6
2019,"race","Men",NA,"Hispanic or Latino",NA,657,249,189,219,93,126,19.1,8.5
2019,"race","Women",NA,"Hispanic or Latino",NA,591,216,181,194,87,106,21.1,8.7
2019,"marital","Men",NA,NA,"Married, spouse present",857,296,246,315,124,191,21.5,9.3
2019,"marital","Men",NA,NA,"Widowed, divorced, or  separated",429,126,125,178,66,111,25.4,11.5
2019,"marital","Men",NA,NA,"Never married",1941,668,571,703,278,424,22.3,9.3
2019,"marital","Women",NA,NA,"Married, spouse present",836,305,251,280,119,161,21.2,8.4
2019,"marital","Women",NA,NA,"Widowed, divorced, or  separated",552,171,165,216,86,130,22.6,10
2019,"marital","Women",NA,NA,"Never married",1386,521,430,435,186,248,19.3,8.3
2020,"age_sex","Total","16+",NA,NA,12947,3708,4728,4511,2516,1995,16.5,9.7
2020,"age_sex","Total","16-19",NA,NA,1025,424,374,227,137,91,11.6,6.6
2020,"age_sex","Total","20-24",NA,NA,1990,632,753,605,365,240,14.5,8.8
2020,"age_sex","Total","25-34",NA,NA,3080,855,1112,1113,619,494,17.1,10.1
2020,"age_sex","Total","35-44",NA,NA,2177,595,800,782,438,344,16.4,10
2020,"age_sex","Total","45-54",NA,NA,2042,534,731,778,415,362,18.1,10.4
2020,"age_sex","Total","55-64",NA,NA,1839,460,665,714,373,342,18.4,10.9
2020,"age_sex","Total","65+",NA,NA,795,208,295,291,169,122,17.3,10.2
2020,"age_sex","Men","16+",NA,NA,6644,1901,2358,2384,1287,1097,17.1,9.9
2020,"age_sex","Men","16-19",NA,NA,526,215,194,116,73,44,11.4,6.7
2020,"age_sex","Men","20-24",NA,NA,1016,317,359,339,194,145,15.6,9.1
2020,"age_sex","Men","25-34",NA,NA,1664,449,608,608,332,275,17.7,10.2
2020,"age_sex","Men","35-44",NA,NA,1126,318,401,408,222,187,16.3,10.1
2020,"age_sex","Men","45-54",NA,NA,995,264,337,393,195,198,19.4,10.6
2020,"age_sex","Men","55-64",NA,NA,916,230,310,376,187,189,19.7,11.6
2020,"age_sex","Men","65+",NA,NA,401,108,150,143,84,59,16.7,9.9
2020,"age_sex","Women","16+",NA,NA,6304,1806,2370,2127,1230,898,15.8,9.5
2020,"age_sex","Women","16-19",NA,NA,500,209,179,111,64,47,11.7,6.6
2020,"age_sex","Women","20-24",NA,NA,974,315,393,266,171,95,13.3,8.5
2020,"age_sex","Women","25-34",NA,NA,1416,406,504,505,287,219,16.5,9.9
2020,"age_sex","Women","35-44",NA,NA,1050,278,399,374,216,158,16.5,9.9
2020,"age_sex","Women","45-54",NA,NA,1047,269,394,385,220,165,16.7,10.2
2020,"age_sex","Women","55-64",NA,NA,924,229,356,338,186,152,17.2,10.3
2020,"age_sex","Women","65+",NA,NA,394,100,145,149,85,63,18,10.4
2020,"race","Total","White, 16+","White",NA,9090,2724,3365,3001,1699,1302,15.7,9.3
2020,"race","Men",NA,"White",NA,4725,1414,1696,1615,875,739,16.5,9.5
2020,"race","Women",NA,"White",NA,4365,1310,1669,1386,824,563,14.8,9.1
2020,"race","Total","Black or African American, 16+","Black or African American",NA,2304,591,795,918,482,436,19.3,11
2020,"race","Men",NA,"Black or African American",NA,1150,289,379,482,250,232,20,11.7
2020,"race","Women",NA,"Black or African American",NA,1155,303,415,437,232,204,18.7,10.3
2020,"race","Total","Asian, 16+","Asian",NA,894,202,335,357,201,156,18.4,11.2
2020,"race","Men",NA,"Asian",NA,427,100,161,166,92,75,18.1,11
2020,"race","Women",NA,"Asian",NA,467,102,174,191,109,81,18.7,11.3
